memno,date,code,amount,
60,2003/6/28,A1,600,
60,2003/7/31,A1,600,
60,2003/8/25,H0,25,
60,2003/8/26,H0,-25,
60,2003/8/27,C3,8978.57,
60,2003/8/28,C1,-8978.57,
60,2003/8/30,A1,600,
60,2003/9/30,A1,600,
60,2003/10/31,A1,600,
60,2003/11/29,A1,600,
60,2003/12/24,A1,600,
60,2004/1/17,A1,600,
60,2004/2/28,A1,600,
60,2004/3/31,A1,600,
60,2004/6/4,B0,-188871.32,
62,1997/1/31,A1,1200,
62,1997/2/28,A1,1200,
62,1997/3/27,A1,1200,
62,1997/4/30,A1,1200,
62,1997/5/31,A1,1200,
62,1997/6/27,A1,1200,
62,1997/6/30,C3,3800.1,
62,1997/6/30,H3,25,
62,1997/7/31,A1,1200,
62,1997/8/30,A1,1200,
62,1997/9/30,A1,1200,
62,1997/10/31,A1,1200,
62,1997/11/29,A1,1200,
62,1997/12/24,A1,1200,
62,1998/1/24,A1,1200,
62,1998/2/28,A1,1200,
62,1998/3/31,A1,1200,
62,1998/4/30,A1,1200,
62,1998/5/29,A1,1200,
62,1998/6/30,A1,1200,
62,1998/7/20,C0,4890.6,
62,1998/7/20,H0,25,
62,1998/7/31,A1,1200,
62,1998/8/29,A1,1200,
62,1998/9/25,A3,900,
62,1998/9/30,A1,1200,
62,1998/10/31,A1,1500,
62,1998/11/28,A1,1500,
62,1998/12/24,A1,1500,
62,1999/1/30,A1,1500,
62,1999/2/27,A1,1500,
62,1999/3/31,A1,1500,
62,1999/4/30,A1,1500,
62,1999/5/29,A1,1500,
62,1999/6/30,A1,1500,
62,1999/7/19,C0,6116.8,
62,1999/7/19,H0,25,
62,1999/7/31,A1,1500,
62,1999/8/31,A1,1500,
62,1999/9/30,A1,1500,
62,1999/10/30,A1,1500,
62,1999/1/11,B1,-85000,
62,1999/11/30,A1,1500,
62,1999/12/24,A1,1500,
62,2000/1/29,A1,1500,
62,2000/2/29,A1,1500,
62,2000/3/31,A1,1500,
62,2000/4/29,A1,1500,
62,2000/5/31,A1,1500,
62,2000/6/30,A1,1500,
62,2000/7/29,A1,1500,
62,2000/7/31,C0,2603.6,
62,2000/7/31,H0,25,
62,2000/8/31,A1,1500,
62,2000/9/30,A1,300,
62,2000/5/10,B1,-50000,
62,2000/10/31,A1,300,
62,2000/11/30,A1,300,
62,2000/12/23,A1,300,
62,2001/1/20,A1,300,
62,2001/2/28,A1,300,
62,2001/3/31,A1,300,
62,2001/4/28,A1,300,
62,2001/5/31,A1,300,
62,2001/6/30,A1,300,
62,2001/7/31,A1,300,
62,2001/5/8,C0,488.8,
62,2001/6/8,C1,-488.8,
62,2001/7/8,H0,25,
62,2001/8/8,H0,-25,
62,2001/8/31,A1,300,
62,2001/9/30,A1,300,
62,2001/10/31,A1,300,
62,2001/11/30,A1,300,
62,2001/12/22,A1,300,
62,2002/1/31,A1,300,
62,2002/2/28,A1,300,
62,2002/3/28,A1,300,
62,2002/4/30,A1,300,
62,2002/5/31,A1,300,
62,2002/6/29,A1,300,
62,2002/7/31,A1,300,
62,2002/8/31,A1,300,
62,2002/4/9,C3,574.8,
62,2002/6/9,C1,-574.8,
62,2002/6/9,H0,25,
62,2002/7/9,H0,-25,
62,2002/9/28,A1,300,
62,2002/10/31,A1,300,
62,2002/11/30,A1,300,
62,2002/12/24,A1,300,
62,2003/1/25,A1,300,
62,2003/2/28,A1,300,
62,2003/3/29,A1,300,
62,2003/4/30,A1,300,
62,2003/5/31,A1,300,
62,2003/6/28,A1,300,
62,2003/7/31,A1,300,
62,2003/8/25,H0,25,
62,2003/8/26,H0,-25,
62,2003/8/27,C3,754.84,
62,2003/8/28,C1,-754.84,
62,2003/8/30,A1,300,
62,2003/9/30,A1,300,
62,2003/10/31,A1,300,
62,2003/11/29,A1,300,
62,2003/12/24,A1,300,
62,2004/1/17,A1,300,
62,2004/2/28,A1,300,
62,2004/3/31,A1,300,
62,2004/4/30,A1,300,
62,2004/5/29,A1,300,
62,2004/6/30,A1,300,
62,2004/7/31,A1,300,
62,2004/8/31,A1,300,
62,2004/10/9,H0,25,
62,2004/11/9,H0,-25,
62,2004/12/9,C0,747.87,
62,2004/9/13,C1,-247.87,
62,2004/9/14,C0,-500,
62,2004/9/29,A1,300,
62,2004/10/30,A1,300,
62,2004/11/30,A1,300,
62,2004/12/24,A1,300,
62,2005/1/29,A1,300,
62,2005/2/26,A1,300,
62,2005/3/31,A1,300,
62,2005/4/30,A1,300,
62,2005/5/31,A1,300,
62,2005/6/30,A1,300,
62,2005/7/30,A1,300,
62,2005/12/8,H0,25,
62,2005/8/13,H0,-25,
62,2005/8/14,C0,891.87,
62,2005/8/15,C1,-891.87,
62,2005/8/31,A1,300,
62,2005/9/30,A1,300,
88,1997/6/30,C3,1171.5,
88,1997/6/30,H3,25,
88,1997/8/22,B3,-1171.5,
88,1997/8/23,A1,162744.36,
88,1997/8/23,B3,-89880,
88,1997/8/24,B1,-92366.16,
91,1997/1/31,A1,600,
91,1997/2/28,A1,640,
91,1997/3/27,A1,680,
91,1997/4/30,A1,720,
91,1997/5/31,A1,600,
91,1997/6/27,A1,650,
91,1997/6/30,A3,25,
91,1997/6/30,C3,5500,
91,1997/6/30,H3,25,
91,1997/7/31,A1,700,
91,1997/8/30,A1,750,
91,1997/9/30,A1,800,
91,1997/10/31,A1,850,
91,1997/11/29,A1,900,
91,1997/12/24,A1,950,
91,1998/1/24,A1,600,
